English_title,Year,Dir_or_prod,Studio,Award_mains,Mains_cat,Award_fest,Fest_cat,Production_country
Thirty Seconds Over Tokyo,1944-01-01,Robert Surtees and Harold Rosson,Paramount ,1,Oscar - Best Cinematography,0,,
Dragon Seed,1944-01-01,Sidney Wagner,Paramount ,1,Oscar - Best Cinematography,0,,
Since You Went Away,1944-01-01,"Stanley Cortez and Lee Garmes, David O. Selznick",20th Century-Fox,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Cover Girl,1944-01-01,Rudolph Maté and Allen M. Davey,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography,0,,
Going My Way,1944-01-01,"Lionel Lindon, Leo McCarey, Leo McCarey",Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Wilson,1944-01-01,"Leon Shamroy, Henry King",Selznick International Pictures ,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Gaslight,1944-01-01,Joseph Ruttenberg,Paramount,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Lady in the Dark,1944-01-01,Ray Rennahan,20th Century-Fox,1,Oscar - Best Cinematography,0,,
Lifeboat,1944-01-01,"Glen MacWilliams, Alfred Hitchcock",Selznick International Pictures ,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
Double Indemnity,1944-01-01,"John F. Seitz, Billy Wilder",Warner Bros.,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Southerner,1945-01-01,"Jean Renoir, Jean Renoir",,1,Oscar - Best Director,1,Venise - Lion d'Or,United States
A Song to Remember,1945-01-01,Tony Gaudio and Allen M. Davey,Columbia ,1,Oscar - Best Cinematography,0,,
Spellbound,1945-01-01,"George Barnes, Alfred Hitchcock, David O. Selznick",J. Arthur Rank-Two Cities Films ,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Leave Her to Heaven,1945-01-01,Leon Shamroy,J. Arthur Rank-Archers,1,Oscar - Best Cinematography,0,,
The Lost Weekend,1945-01-01,"John F. Seitz, Billy Wilder, Charles Brackett, Billy Wilder",J. Arthur Rank-Cineguild,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",1,Cannes - Palme d'Or,United States
The Spanish Main,1945-01-01,George Barnes,Metro-Goldwyn-Mayer,1,Oscar - Best Cinematography,0,,
The Bells of St. Mary's,1945-01-01,Leo McCarey,Rainbow Productions,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Keys of the Kingdom,1945-01-01,Arthur C. Miller,RKO Radio,1,Oscar - Best Cinematography,0,,
The Picture of Dorian Gray,1945-01-01,Harry Stradling,Samuel Goldwyn Productions ,1,Oscar - Best Cinematography,0,,
National Velvet,1945-01-01,"Leonard Smith, Clarence Brown",Warner Bros.,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
Mildred Pierce,1945-01-01,Ernest Haller,20th Century-Fox,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Anchors Aweigh,1945-01-01,Robert H. Planck and Charles P. Boyle,20th Century-Fox,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Razor's Edge,1946-01-01,,20th Century-Fox,1,Oscar - Best Film,0,,
The Red Meadows,1946-01-01,"Bodil Ipsen & Lau Lauritzen, Jr.",,0,,1,Cannes - Palme d'Or,Denmark
Neecha Nagar,1946-01-01,Chetan Anand,,0,,1,Cannes - Palme d'Or,India
The Battle of the Rails,1946-01-01,René Clément,,0,,0,,France
The Last Chance,1946-01-01,Leopold Lindtberg,,0,,1,Cannes - Palme d'Or,Switzerland
The Best Years of Our Lives,1946-01-01,"William Wyler, Samuel Goldwyn",Samuel Goldwyn Productions ,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Jolson Story,1946-01-01,Joseph Walker,,1,Oscar - Best Cinematography,0,,
Anna and the King of Siam,1946-01-01,Arthur C. Miller,20th Century-Fox,1,Oscar - Best Cinematography,0,,
Pastoral Symphony,1946-01-01,Jean Delannoy,,0,,1,Cannes - Palme d'Or,France
"Rome, Open City",1946-01-01,Roberto Rossellini,,0,,1,Cannes - Palme d'Or,Italy
Torment,1946-01-01,Alf Sjöberg,,0,,1,Cannes - Palme d'Or,Sweden
Brief Encounter,1946-01-01,"David Lean, David Lean",,1,Oscar - Best Director,1,Cannes - Palme d'Or,United Kingdom
The Killers,1946-01-01,Robert Siodmak,,1,Oscar - Best Director,0,,
It's a Wonderful Life,1946-01-01,Frank Capra,Liberty Films,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Yearling,1946-01-01,"Charles Rosher, Leonard Smith and Arthur Arling, Clarence Brown",Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
María Candelaria,1946-01-01,Emilio Fernández,,0,,1,Cannes - Palme d'Or,Mexico
Men Without Wings,1946-01-01,František Čáp,,0,,1,Cannes - Palme d'Or,Czechoslovakia
The Green Years,1946-01-01,George Folsey,20th Century-Fox,1,Oscar - Best Cinematography,0,,
Ziegfeld Follies (Best Musical Comedy),1947-01-01,Vincente Minnelli,,0,,1,Cannes - Palme d'Or,United States
Great Expectations,1947-01-01,"Guy Green, David Lean",J. Arthur Rank-Cineguild,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Bishop's Wife,1947-01-01,"Henry Koster, Samuel Goldwyn",Samuel Goldwyn Productions ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Black Narcissus,1947-01-01,Jack Cardiff,,1,Oscar - Best Cinematography,0,,
The Damned (Best Adventure & Crime Film),1947-01-01,René Clément,,0,,1,Cannes - Palme d'Or,France
Life with Father,1947-01-01,J. Peverell Marley and William V. Skall,,1,Oscar - Best Cinematography,0,,
Gentleman's Agreement,1947-01-01,"Elia Kazan, Darryl F. Zanuck",20th Century-Fox ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Green Dolphin Street,1947-01-01,George Folsey,,1,Oscar - Best Cinematography,0,,
Antoine and Antoinette (Best Psychological & Love Film),1947-01-01,Jacques Becker,,0,,1,Cannes - Palme d'Or,France
A Double Life,1947-01-01,George Cukor,,1,Oscar - Best Director,0,,
Dumbo (Best Animation Design),1947-01-01,Ben Sharpsteen,,0,,1,Cannes - Palme d'Or,United States
The Ghost and Mrs. Muir,1947-01-01,Charles Lang,,1,Oscar - Best Cinematography,0,,
Miracle on 34th Street,1947-01-01,,20th Century-Fox,1,Oscar - Best Film,0,,
Mother Wore Tights,1947-01-01,Harry Jackson,,1,Oscar - Best Cinematography,0,,
Crossfire,1947-01-01,Edward Dmytryk,RKO Radio,1,"Oscar - Best Director, Oscar - Best Film",0,,
Crossfire (Best Social Film),1947-01-01,Edward Dmytryk,,0,,1,Cannes - Palme d'Or,United States
The Strike,1947-01-01,Karel Steklý,,0,,1,Venise - Lion d'Or,Czechoslovakia
The Loves of Carmen,1948-01-01,William E. Snyder,,1,Oscar - Best Cinematography,0,,
Portrait of Jennie,1948-01-01,Joseph August (posthumously),,1,Oscar - Best Cinematography,0,,
Hamlet,1948-01-01,"Laurence Olivier, Laurence Olivier, Laurence Olivier, Grigori Kozintsev",J. Arthur Rank-Two Cities Films ,1,"Oscar - Best Director, Oscar - Best Film",1,"Venise - Lion d'Or, Venise - Grand Prix du Jury",United Kingdom
The Search,1948-01-01,Fred Zinnemann,,1,Oscar - Best Director,0,,
The Naked City,1948-01-01,William Daniels,,1,Oscar - Best Cinematography,0,,
The Snake Pit,1948-01-01,Anatole Litvak,20th Century-Fox,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Treasure of the Sierra Madre,1948-01-01,John Huston,Warner Bros.,1,"Oscar - Best Director, Oscar - Best Film",0,,
Johnny Belinda,1948-01-01,"Ted McCord, Jean Negulesco",Warner Bros.,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Joan of Arc,1948-01-01,"Joseph Valentine, William V. Skall and Winton C. Hoch",,1,Oscar - Best Cinematography,0,,
Festival cancelled,1948-01-01,"Festival cancelled, Festival cancelled",,0,,1,"Cannes - Palme d'Or, Cannes - Palme d'Or",Festival cancelled
Green Grass of Wyoming,1948-01-01,Charles G. Clarke,,1,Oscar - Best Cinematography,0,,
The Red Shoes,1948-01-01,,J. Arthur Rank-Archers,1,Oscar - Best Film,0,,
I Remember Mama,1948-01-01,Nicholas Musuraca,,1,Oscar - Best Cinematography,0,,
The Three Musketeers,1948-01-01,Robert H. Planck,,1,Oscar - Best Cinematography,0,,
A Foreign Affair,1948-01-01,Charles Lang,,1,Oscar - Best Cinematography,0,,
A Letter to Three Wives,1949-01-01,Joseph L. Mankiewicz,20th Century-Fox,1,"Oscar - Best Director, Oscar - Best Film",0,,
She Wore a Yellow Ribbon,1949-01-01,Winton C. Hoch,,1,Oscar - Best Cinematography,0,,
All the King's Men,1949-01-01,"Robert Rossen, Robert Rossen",Columbia ,1,"Oscar - Best Director, Oscar - Best Film",0,,
Jolson Sings Again,1949-01-01,William E. Snyder,,1,Oscar - Best Cinematography,0,,
Sand,1949-01-01,Charles G. Clarke,,1,Oscar - Best Cinematography,0,,
Twelve O'Clock High,1949-01-01,,20th Century-Fox,1,Oscar - Best Film,0,,
Manon,1949-01-01,Henri-Georges Clouzot,,0,,1,Venise - Lion d'Or,France
Little Women,1949-01-01,"Robert H. Planck and Charles Schoenbaum, George Cukor, Amy Pascal",RKO Radio,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film, Oscar - Best Film",0,,
Champion,1949-01-01,Franz Planer,,1,Oscar - Best Cinematography,0,,
The Barkleys of Broadway,1949-01-01,Harry Stradling,,1,Oscar - Best Cinematography,0,,
Battleground,1949-01-01,"Paul C. Vogel, William A. Wellman",Metro-Goldwyn-Mayer,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Fallen Idol,1949-01-01,Carol Reed,,1,Oscar - Best Director,0,,
Prince of Foxes,1949-01-01,Leon Shamroy,,1,Oscar - Best Cinematography,0,,
Come to the Stable,1949-01-01,Joseph LaShelle,,1,Oscar - Best Cinematography,0,,
The Heiress,1949-01-01,"Leo Tover, William Wyler",Paramount,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
King Solomon's Mines,1950-01-01,Robert Surtees,,1,Oscar - Best Cinematography,0,,
Annie Get Your Gun,1950-01-01,Charles Rosher,,1,Oscar - Best Cinematography,0,,
Born Yesterday,1950-01-01,George Cukor,,1,Oscar - Best Director,0,,
The Flame and the Arrow,1950-01-01,Ernest Haller,,1,Oscar - Best Cinematography,0,,
Justice Is Done,1950-01-01,André Cayatte,,0,,1,Venise - Lion d'Or,France
Sunset Boulevard,1950-01-01,"John F. Seitz, Billy Wilder, Paramount",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Furies,1950-01-01,Victor Milner,,1,Oscar - Best Cinematography,0,,
Samson and Delilah,1950-01-01,George Barnes,,1,Oscar - Best Cinematography,0,,
The Third Man,1950-01-01,"Robert Krasker, Carol Reed, Carol Reed",,1,"Oscar - Best Cinematography, Oscar - Best Director",1,Cannes - Palme d'Or,United Kingdom
Broken Arrow,1950-01-01,Ernest Palmer,,1,Oscar - Best Cinematography,0,,
The Asphalt Jungle,1950-01-01,"Harold Rosson, John Huston",,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
All About Eve,1950-01-01,"Milton Krasner, Joseph L. Mankiewicz, 20th Century-Fox , Joseph L. Mankiewicz",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,United States
When Worlds Collide,1951-01-01,John F. Seitz and W. Howard Greene,,1,Oscar - Best Cinematography,0,,
Strangers on a Train,1951-01-01,Robert Burks,,1,Oscar - Best Cinematography,0,,
An American in Paris,1951-01-01,"Alfred Gilks and John Alton, Vincente Minnelli, Arthur Freed",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Miracle in Milan,1951-01-01,Vittorio De Sica,,0,,1,Cannes - Palme d'Or,Italy
Miss Julie,1951-01-01,Alf Sjöberg,,0,,1,Cannes - Palme d'Or,Sweden
The Frogmen,1951-01-01,Norbert Brodine,,1,Oscar - Best Cinematography,0,,
A Place in the Sun,1951-01-01,"William C. Mellor, George Stevens, George Stevens",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Detective Story,1951-01-01,William Wyler,,1,Oscar - Best Director,0,,
A Streetcar Named Desire,1951-01-01,"Harry Stradling, Elia Kazan, Charles K. Feldman, Elia Kazan",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",1,Venise - Grand Prix du Jury,United States
The African Queen,1951-01-01,John Huston,,1,Oscar - Best Director,0,,
Decision Before Dawn,1951-01-01,Anatole Litvak and Frank McCarthy,,1,Oscar - Best Film,0,,
Death of a Salesman,1951-01-01,Franz Planer,,1,Oscar - Best Cinematography,0,,
Rashomon,1951-01-01,Akira Kurosawa,,0,,1,Venise - Lion d'Or,Japan
Show Boat,1951-01-01,Charles Rosher,,1,Oscar - Best Cinematography,0,,
Quo Vadis,1951-01-01,"Robert Surtees and William V. Skall, Sam Zimbalist",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
David and Bathsheba,1951-01-01,Leon Shamroy,,1,Oscar - Best Cinematography,0,,
Navajo,1952-01-01,Virgil Miller,,1,Oscar - Best Cinematography,0,,
We Are All Murderers,1952-01-01,André Cayatte,,0,,0,,France
Othello,1952-01-01,Orson Welles,,0,,1,Cannes - Palme d'Or,"Italy, Morocco"
The Curious Adventures of Mr. Wonderbird,1952-01-01,Paul Grimault,,0,,1,Venise - Grand Prix du Jury,France
The Big Sky,1952-01-01,Russell Harlan,,1,Oscar - Best Cinematography,0,,
Ivanhoe,1952-01-01,"Freddie Young, Pandro S. Berman",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Sudden Fear,1952-01-01,Charles Lang,,1,Oscar - Best Cinematography,0,,
The Bad and the Beautiful,1952-01-01,Robert Surtees,,1,Oscar - Best Cinematography,0,,
Two Cents Worth of Hope,1952-01-01,Renato Castellani,,0,,1,Cannes - Palme d'Or,Italy
Forbidden Games,1952-01-01,René Clément,,0,,1,Venise - Lion d'Or,France
Hans Christian Andersen,1952-01-01,Harry Stradling,,1,Oscar - Best Cinematography,0,,
High Noon,1952-01-01,"Fred Zinnemann, Stanley Kramer",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Moulin Rouge,1952-01-01,"John Huston, John and James Woolf, John Huston",,1,"Oscar - Best Director, Oscar - Best Film",1,Venise - Lion d'Argent,
The Greatest Show on Earth,1952-01-01,"Cecil B. DeMille, Cecil B. DeMille",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Snows of Kilimanjaro,1952-01-01,Leon Shamroy,,1,Oscar - Best Cinematography,0,,
5 Fingers,1952-01-01,Joseph L. Mankiewicz,,1,Oscar - Best Director,0,,
The Quiet Man,1952-01-01,"Winton C. Hoch and Archie Stout, John Ford, John Ford and Merian C. Cooper",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
My Cousin Rachel,1952-01-01,Joseph LaShelle,,1,Oscar - Best Cinematography,0,,
Mandy,1952-01-01,Alexander Mackendrick,,0,,1,Venise - Grand Prix du Jury,United Kingdom
Million Dollar Mermaid,1952-01-01,George Folsey,,1,Oscar - Best Cinematography,0,,
The Wages of Fear,1953-01-01,Henri-Georges Clouzot,,0,,1,Cannes - Palme d'Or,France
The Robe,1953-01-01,"Leon Shamroy, Frank Ross",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Little Fugitive,1953-01-01,"Raymond Abrashkin, Morris Engel, and Ruth Orkin",,0,,1,Venise - Lion d'Argent,
Lili,1953-01-01,"Robert H. Planck, Charles Walters",,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
Ugetsu,1953-01-01,Kenji Mizoguchi,,0,,1,Venise - Lion d'Argent,
Beneath the 12-Mile Reef,1953-01-01,Edward Cronjager,,1,Oscar - Best Cinematography,0,,
Julius Caesar,1953-01-01,"Joseph Ruttenberg, John Houseman",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Thérèse Raquin,1953-01-01,Marcel Carné,,0,,1,Venise - Lion d'Argent,
Roman Holiday,1953-01-01,"Franz Planer and Henri Alekan, William Wyler, William Wyler",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Sadko,1953-01-01,Aleksandr Ptushko,,0,,1,Venise - Lion d'Argent,
Shane,1953-01-01,"Loyal Griggs, George Stevens, George Stevens",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
I Vitelloni,1953-01-01,Federico Fellini,,0,,1,Venise - Lion d'Argent,
From Here to Eternity,1953-01-01,"Burnett Guffey, Fred Zinnemann, Buddy Adler",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Martin Luther,1953-01-01,Joseph C. Brun,,1,Oscar - Best Cinematography,0,,
The Four Poster,1953-01-01,Hal Mohr,,1,Oscar - Best Cinematography,0,,
Stalag 17,1953-01-01,Billy Wilder,,1,Oscar - Best Director,0,,
All the Brothers Were Valiant,1953-01-01,George Folsey,,1,Oscar - Best Cinematography,0,,
Rear Window,1954-01-01,"Robert Burks, Alfred Hitchcock",,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
The Country Girl,1954-01-01,"John F. Warren, George Seaton, William Perlberg",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Seven Brides for Seven Brothers,1954-01-01,"George Folsey, Jack Cummings",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The High and the Mighty,1954-01-01,William A. Wellman,,1,Oscar - Best Director,0,,
La Strada,1954-01-01,Federico Fellini,,0,,1,Venise - Lion d'Argent,
Executive Suite *,1954-01-01,Robert Wise,,0,,1,Venise - Grand Prix du Jury,United States
Executive Suite,1954-01-01,George Folsey,,1,Oscar - Best Cinematography,0,,
The Egyptian,1954-01-01,Leon Shamroy,,1,Oscar - Best Cinematography,0,,
Sansho the Bailiff,1954-01-01,Kenji Mizoguchi,,0,,1,Venise - Lion d'Argent,
The Caine Mutiny,1954-01-01,Stanley Kramer,,1,Oscar - Best Film,0,,
Rogue Cop,1954-01-01,John F. Seitz,,1,Oscar - Best Cinematography,0,,
Knave of Hearts,1954-01-01,René Clément,,0,,0,,France
Seven Samurai,1954-01-01,Akira Kurosawa,,0,,1,Venise - Lion d'Argent,
The Silver Chalice,1954-01-01,William V. Skall,,1,Oscar - Best Cinematography,0,,
Sabrina,1954-01-01,"Charles Lang, Billy Wilder",,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
Three Coins in the Fountain,1954-01-01,"Milton Krasner, Sol C. Siegel",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Gate of Hell,1954-01-01,Teinosuke Kinugasa,,0,,1,Cannes - Palme d'Or,Japan
On the Waterfront,1954-01-01,"Boris Kaufman, Elia Kazan, Sam Spiegel, Elia Kazan",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",1,Venise - Lion d'Argent,
Marty ,1955-01-01,Delbert Mann,,0,,1,Cannes - Palme d'Or,United States
Marty,1955-01-01,"Joseph LaShelle, Delbert Mann, Harold Hecht",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Queen Bee,1955-01-01,Charles Lang,,1,Oscar - Best Cinematography,0,,
Bad Day at Black Rock,1955-01-01,John Sturges,,1,Oscar - Best Director,0,,
Lost Continent,1955-01-01,"Enrico Gras, Giorgio Moser & Leonardo Bonzi",,0,,0,,Italy
The Grasshopper,1955-01-01,Samson Samsonov,,0,,1,Venise - Lion d'Argent,
Ordet,1955-01-01,Carl Theodor Dreyer,,0,,1,Venise - Lion d'Or,Denmark
Guys and Dolls,1955-01-01,Harry Stradling,,1,Oscar - Best Cinematography,0,,
The Big Knife,1955-01-01,Robert Aldrich,,0,,1,Venise - Lion d'Argent,
I'll Cry Tomorrow,1955-01-01,Arthur Arling,,1,Oscar - Best Cinematography,0,,
To Catch a Thief,1955-01-01,Robert Burks,,1,Oscar - Best Cinematography,0,,
Le Amiche,1955-01-01,Michelangelo Antonioni,,0,,1,Venise - Lion d'Argent,
A Man Called Peter,1955-01-01,Harold Lipstein,,1,Oscar - Best Cinematography,0,,
Picnic,1955-01-01,"Joshua Logan, Fred Kohlmar",,1,"Oscar - Best Director, Oscar - Best Film",0,,
East of Eden,1955-01-01,Elia Kazan,,1,Oscar - Best Director,0,,
Summertime,1955-01-01,David Lean,,1,Oscar - Best Director,0,,
Blackboard Jungle,1955-01-01,Russell Harlan,,1,Oscar - Best Cinematography,0,,
Ciske the Rat,1955-01-01,Wolfgang Staudte,,0,,1,Venise - Lion d'Argent,
Oklahoma!,1955-01-01,Robert Surtees,,1,Oscar - Best Cinematography,0,,
The Rose Tattoo,1955-01-01,"James Wong Howe, Hal B. Wallis",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Mister Roberts,1955-01-01,Leland Hayward,,1,Oscar - Best Film,0,,
Love Is a Many-Splendored Thing,1955-01-01,"Leon Shamroy, Buddy Adler",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Friendly Persuasion,1956-01-01,"William Wyler, William Wyler, William Wyler",,1,"Oscar - Best Director, Oscar - Best Film",1,Cannes - Palme d'Or,United States
The Ten Commandments,1956-01-01,"Loyal Griggs, Cecil B. DeMille",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Harder They Fall,1956-01-01,Burnett Guffey,,1,Oscar - Best Cinematography,0,,
Somebody Up There Likes Me,1956-01-01,Joseph Ruttenberg,,1,Oscar - Best Cinematography,0,,
The Mystery of Picasso,1956-01-01,Henri-Georges Clouzot,,0,,0,,France
Stagecoach to Fury,1956-01-01,Walter Strenge,,1,Oscar - Best Cinematography,0,,
The King and I,1956-01-01,"Leon Shamroy, Walter Lang, Charles Brackett",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Around the World in 80 Days,1956-01-01,"Lionel Lindon, Michael Anderson, Michael Todd",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
War and Peace,1956-01-01,"Jack Cardiff, King Vidor",,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
The Silent World,1956-01-01,Jacques Cousteau & Louis Malle,,0,,1,Cannes - Palme d'Or,France
Giant,1956-01-01,"George Stevens, George Stevens and Henry Ginsberg",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Eddy Duchin Story,1956-01-01,Harry Stradling,,1,Oscar - Best Cinematography,0,,
The Bad Seed,1956-01-01,Harold Rosson,,1,Oscar - Best Cinematography,0,,
Baby Doll,1956-01-01,Boris Kaufman,,1,Oscar - Best Cinematography,0,,
Peyton Place,1957-01-01,"William C. Mellor, Mark Robson, Jerry Wald",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Sayonara,1957-01-01,"Ellsworth Fredricks, Joshua Logan, William Goetz",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Witness for the Prosecution,1957-01-01,"Billy Wilder, Arthur Hornblow Jr.",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Funny Face,1957-01-01,Ray June,,1,Oscar - Best Cinematography,0,,
12 Angry Men,1957-01-01,"Sidney Lumet, Henry Fonda and Reginald Rose",,1,"Oscar - Best Director, Oscar - Best Film",0,,
White Nights,1957-01-01,Luchino Visconti,,0,,1,Venise - Lion d'Argent,
Kanał,1957-01-01,Andrzej Wajda,,0,,0,,Poland
The Seventh Seal,1957-01-01,Ingmar Bergman,,0,,0,,Sweden
Aparajito,1957-01-01,Satyajit Ray,,0,,1,Venise - Lion d'Or,India
An Affair to Remember,1957-01-01,Milton Krasner,,1,Oscar - Best Cinematography,0,,
The Bridge on the River Kwai,1957-01-01,"Jack Hildyard, David Lean, Sam Spiegel",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Rickshaw Man,1958-01-01,Hiroshi Inagaki,,0,,1,Venise - Lion d'Or,Japan
The Inn of the Sixth Happiness,1958-01-01,Mark Robson,,1,Oscar - Best Director,0,,
Separate Tables,1958-01-01,"Charles Lang, Harold Hecht",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Gigi,1958-01-01,"Joseph Ruttenberg, Vincente Minnelli, Arthur Freed",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
La sfida,1958-01-01,Francesco Rosi,,0,,1,Venise - Grand Prix du Jury,"Italy, Spain"
The Cranes Are Flying,1958-01-01,Mikhail Kalatozov,,0,,1,Cannes - Palme d'Or,Soviet Union
Mon Oncle,1958-01-01,Jacques Tati,,0,,0,,France
Auntie Mame,1958-01-01,"Harry Stradling, Jack L. Warner",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
I Want to Live!,1958-01-01,"Lionel Lindon, Robert Wise",,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
The Defiant Ones,1958-01-01,"Sam Leavitt, Stanley Kramer, Stanley Kramer",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
South Pacific,1958-01-01,Leon Shamroy,,1,Oscar - Best Cinematography,0,,
The Lovers,1958-01-01,Louis Malle,,0,,1,Venise - Grand Prix du Jury,France
The Young Lions,1958-01-01,Joseph MacDonald,,1,Oscar - Best Cinematography,0,,
The Old Man and the Sea,1958-01-01,James Wong Howe,,1,Oscar - Best Cinematography,0,,
Desire Under the Elms,1958-01-01,Daniel L. Fapp,,1,Oscar - Best Cinematography,0,,
Cat on a Hot Tin Roof,1958-01-01,"William Daniels, Richard Brooks, Lawrence Weingarten",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Magician,1959-01-01,Ingmar Bergman,,0,,1,Venise - Grand Prix du Jury,Sweden
The Big Fisherman,1959-01-01,Lee Garmes,,1,Oscar - Best Cinematography,0,,
Black Orpheus ,1959-01-01,Marcel Camus,,0,,1,Cannes - Palme d'Or,"France, Brazil"
Room at the Top,1959-01-01,"Jack Clayton, John Woolf and James Woolf",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Porgy and Bess,1959-01-01,Leon Shamroy,,1,Oscar - Best Cinematography,0,,
Anatomy of a Murder,1959-01-01,"Sam Leavitt, Otto Preminger",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Ben-Hur,1959-01-01,"Robert Surtees, William Wyler, Sam Zimbalist",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Nun's Story,1959-01-01,"Franz Planer, Fred Zinnemann, Henry Blanke",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Stars,1959-01-01,Konrad Wolf,,0,,0,,East Germany
Some Like It Hot,1959-01-01,"Charles Lang, Billy Wilder",,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
The Great War,1959-01-01,Mario Monicelli,,0,,1,Venise - Lion d'Or,"France, Italy"
Career,1959-01-01,Joseph LaShelle,,1,Oscar - Best Cinematography,0,,
The Five Pennies,1959-01-01,Daniel L. Fapp,,1,Oscar - Best Cinematography,0,,
The Diary of Anne Frank,1959-01-01,"William C. Mellor, George Stevens, George Stevens",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Young Philadelphians,1959-01-01,Harry Stradling,,1,Oscar - Best Cinematography,0,,
General Della Rovere,1959-01-01,Roberto Rossellini,,0,,1,Venise - Lion d'Or,"France, Italy"
Spartacus,1960-01-01,Russell Metty,,1,Oscar - Best Cinematography,0,,
